[Sun Jul 24 14:32:17.991119 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] add per-dir prefix: index.php -> /index.php, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991132 2016] [rewrite:trace1] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991308 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b7318/initial/redir#1] [perdir /] strip per-dir prefix: /var/www/infra2/index.php -> var/www/infra2/index.php, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991350 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b7318/initial/redir#1] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/index.php', referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991369 2016] [rewrite:trace4] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b7318/initial/redir#1] [perdir /] RewriteCond: input='/var/www/infra2/index.php' pattern='!-d' => matched, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991383 2016] [rewrite:trace4] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b7318/initial/redir#1] [perdir /] RewriteCond: input='/var/www/infra2/index.php' pattern='!-f' => not-matched, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991396 2016] [rewrite:trace1] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b7318/initial/redir#1] [perdir /] pass through /var/www/infra2/index.php, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:18.101206 2016] [rewrite:trace3] [pid 64732] mod_rewrite.c(475): [client 193.6.194.38:44209] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] strip per-dir prefix: /var/www/infra2/loader.gif -> var/www/infra2/loader.gif, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:18.101258 2016] [rewrite:trace3] [pid 64732] mod_rewrite.c(475): [client 193.6.194.38:44209] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/loader.gif', referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:18.101293 2016] [rewrite:trace4] [pid 64732] mod_rewrite.c(475): [client 193.6.194.38:44209] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/loader.gif' pattern='!-d' => matched, referer: http://e-magyar.hu/parser
